id	name	node_type
98261	Bread stuffing	food
97621	Toffees	food
98159	SILK Light Plain	food
98140	Soy sauce made from soy and wheat (shoyu)	food
97716	Capers	food
98039	Catsup	food
97889	Papaya nectar	food
98095	Fruit punch juice drink	food
97454	Mayonnaise	food
98336	Baking chocolate	food
98468	Pretzels	food
97362	Dogfish	food
98600	Oregano	food
97417	Kippers	food
98440	Macaroni and Cheese	food
98707	Aceituna Dulce	food
98038	Winged bean	food
97967	Gourd	food
97957	Maize	food
97493	Passion fruit	food
98431	"PIZZA HUT 14"" Sausage Pizza"	food
98351	Frozen yogurts	food
97504	Pecan nut	food
97523	Pomegranate	food
98575	Tea [Oolong]	food
98505	Cattail	food
98058	Nuts	food
97969	Hyacinth-beans	food
97303	Carrot	food
97958	Corn with red and green peppers	food
97636	Vervain	food
98147	Veggie burgers or soyburgers	food
98415	"LITTLE CAESARS 14"" Original Round Pepperoni Pizza"	food
97437	Liquorice allsorts	food
97390	Gin	food
97803	Luncheon sausage	food
98299	KELLOGG'S Eggo Lowfat Blueberry Nutri-Grain Waffles	food
98208	WORTHINGTON Super Links	food
98685	Broadbean	food
98073	Robusta coffee beverage [Filter]	food
97430	Lime	food
98203	WORTHINGTON Low Fat Fri Chik	food
97809	CARL BUDDIG	food
97291	Buckwheat flour	food
97277	Blended spread	food
98347	Flan	food
98088	Orange drink	food
98571	Beer [Dark]	food
97899	Plums	food
98469	Dip	food
97588	Sorbitol	food
98712	Water Lotus	food
97749	Quail	food
98428	DIGIORNO Pizza	food
98702	European Chestnut	food
98142	Soy sauce made from hydrolyzed vegetable protein	food
98330	Kashi Blueberry Waffle	food
97652	Wheat	food
98588	Sweet pepper [Red]	food
98103	Breakfast type drink	food
97453	Marzipanproduct	food
97665	Ymer	food
97252	Asparagus	food
98581	Savoy cabbage	food
98541	Vegetarian fillets	food
97527	Pork	food
98399	Sandwiches and burgers	food
97680	Sour cream	food
97485	Orange juice	food
98490	Deer (venison)	food
98179	SILK Key Lime soy Yogurt	food
97988	Pigeonpeas	food
98230	MORNINGSTAR FARMS Mushroom Lover's Burger	food
97886	Tangerines	food
98663	Pepper spice [Black]	food
97666	Yoghurt	food
98448	Tortellini	food
97660	Champagne	food
97895	Pear nectar	food
97893	Peach nectar	food
98070	Clam and tomato juice	food
98589	Sweet pepper [Yellow]	food
98724	Breadroot	food
97347	Cream pastry	food
98422	Fast Food	food
97371	Fat	food
98290	Tortillas	food
98247	WORTHINGTON Leanies	food
98006	Taro leaves	food
97734	Shortening cake mix	food
97465	Mustard	food
98113	Fruit juice drink	food
98404	TACO BELL	food
97580	Sesame seed [Black]	food
97298	Cantharelle	food
98588	Chilli pepper [Red]	food
97604	Sweet rowanberry	food
97859	Grapefruit juice	food
97698	KRAFT BREYERS LIGHT N' LIVELY Lowfat Strawberry Yogurt (1% Milkfat)	food
98627	Cognac	food
98590	Lettuce [Red]	food
98678	Aubergine	food
97442	Loquat	food
98592	Onion [White]	food
98699	Coconut	food
98739	Cantaloupe	food
97974	Kanpyo	food
97297	Cabbage	food
97884	Orange peel	food
97710	Milk dessert bar	food
98604	American cranberry	food
97642	Walnut	food
97394	Gooseberry	food
98600	Mexican oregano	food
97321	Chewing gum	food
98638	Hyssop	food
97475	Nutmeg	food
98592	Onion [Yellow]	food
98356	Pectin	food
97570	Salmon	food
97681	Milk substitutes	food
97683	Yogurt	food
98380	Triticale	food
97856	Fruit cocktail	food
98054	Wasabi	food
97318	Cherry	food
98335	Candies	food
98275	English muffins	food
98020	Waxgourd	food
97446	Mackerel	food
98604	European cranberry	food
97477	Oat	food
97315	Cheese	food
98586	Fox grape [Green]	food
97597	Spotted catfish	food
98205	WORTHINGTON Multigrain Cutlets	food
97843	Blueberries	food
98645	Lentil	food
97835	Apples	food
98013	Turnips	food
98073	Coffee substitute	food
98456	Lasagna with meat & sauce	food
98125	Mothbeans	food
97851	Cranberry-orange relish	food
98393	Millet flour	food
97275	Black pudding (boiled)	food
98386	Barley flour or meal	food
98009	Tomato juice	food
98287	Sweet rolls	food
97730	Shortening	food
97607	Sunflower oil	food
97661	Wolffish (catfish)	food
98152	Frijoles rojos volteados (Refried beans	food
97652	Common wheat	food
98033	Radish seeds	food
98392	Teff	food
97869	Lemons	food
97841	Black chokeberry	food
97416	Kidney	food
98536	Breakfast bars	food
97373	Fenugreek	food
98499	Steelhead trout	food
97457	Melon	food
97516	Pizza Romana	food
97649	Wheat germ oil	food
98433	MORNINGSTAR FARMS Garden Veggie Patties	food
97540	Quark with fruit	food
98708	Jerusalem Artichoke	food
97836	Applesauce	food
97605	Sugar pea	food
97370	Endive (frisee)	food
98129	Peanut flour	food
97801	Thuringer	food
97881	Nectarines	food
98011	Tomato powder	food
98729	Tomatillo	food
98143	Okara	food
98153	Vitasoy USA	food
98350	Frostings	food
98418	"LITTLE CAESARS 14"" Pepperoni Pizza"	food
97675	Cheese spread	food
98515	Tamales	food
97636	Veal	food
98141	Soy sauce made from soy (tamari)	food
98603	Celery leaves	food
98047	Nopales	food
97625	Tomato puree	food
97450	Marmalade	food
98349	Frozen novelties	food
98654	Nutmeg [Mace]	food
97477	Oats	food
97668	Yoghurt with muesli	food
98458	Egg rolls	food
97293	Buckwheat	food
98554	Cider	food
98527	Vegetable oil-butter spread	food
98626	Chinese Parsley	food
97725	Infant formula	food
98447	Ravioli	food
98382	Wild rice	food
97413	Juice	food
98074	Cranberry-apple juice drink	food
97701	Reddi Wip Fat Free Whipped Topping	food
98544	Bacon bits	food
97280	Bouillon	food
98481	Mouse nuts	food
98084	Lemonade-flavor drink	food
97943	Red beetroot	food
98309	NABISCO	food
98317	Pie Crust	food
98139	Soy protein isolate	food
97364	Duck	food
98280	Pancakes plain	food
98509	Stinging Nettles	food
97758	Adobo fresco	food
97949	Celtuce	food
97427	Lemon verbena	food
97468	Beer [Alcohol free]	food
98607	Cashew	food
98669	Red Currant	food
98565	Mayonnaise dressing	food
98694	Butternut	food
97945	Broccoli raab	food
98533	Rice cake	food
98652	Biblical Mint	food
97552	Rice bran	food
98554	Apple cider-flavored drink	food
98389	Rice noodles	food
98259	Bread crumbs	food
97837	Apricots	food
97590	Soya flour	food
98138	Soy protein concentrate	food
97544	Radishes	food
98327	Kashi TLC Crackers Original 7 Grain	food
97314	Chayote fruit	food
97406	Honey	food
97627	Tomatojuice	food
98041	Pimento	food
98562	Ensure plus	food
97421	Lake trout	food
98243	MORNINGSTAR FARMS Maple Flavored Veggie Sausage Patties	food
97672	Yoghurt with strawberries	food
97962	Yardlong bean	food
98268	Crackers	food
98654	Mace	food
98022	Winged bean leaves	food
98151	MORI-NU	food
97791	Pickle and pimiento loaf	food
98372	Cornstarch	food
98310	PILLSBURY	food
98089	Orange and apricot juice drink	food
97473	Nut paste	food
98586	Grape [Green]	food
97654	Whipped egg white and sugar with chocolate covering	food
97800	Smoked link sausage	food
97462	Muskmelon	food
98049	Grape leaves	food
98218	WORTHINGTON Prosage Links	food
98391	Spelt	food
97253	Aubergine (eggplant)	food
97905	Rambutan	food
98439	LOMA LINDA Big Franks	food
98682	Common Thyme	food
98491	Willow	food
98001	Succotash	food
97372	Fenugreek seed	food
97853	Custard-apple	food
98176	SILK Peach soy Yogurt	food
97776	Ham and cheese loaf or roll	food
98344	Egg custards	food
97579	Semolina	food
98315	Waffle	food
98029	Shallot	food
98328	Kashi TLC Crackers Country Cheddar	food
98383	Pasta	food
98028	Drumstick pods	food
98589	Chilli pepper [Yellow]	food
98587	Fox grape [Black]	food
98354	Jellies	food
97849	Cranberries	food
98057	Rape seed	food
97815	Liverwurst spread	food
98452	Pasta with meatballs in tomato sauce	food
98115	Fruit-flavored drink	food
97981	Mustard spinach	food
97989	Poi	food
97488	Palm kernel oil	food
98381	Triticale flour	food
97807	LOUIS RICH	food
98346	Gelatins	food
97745	Margarine-like spread	food
98684	American Cranberry	food
97961	Cowpea	food
97363	Dragee	food
98478	Cascade huckleberry	food
97313	Charr	food
98632	Quince	food
97660	Wine	food
97594	Spinach	food
97966	Endive [Curly]	food
97939	Balsam-pear (bitter gourd)	food
98670	Berro	food
97433	Lingonberry	food
97601	Stockfish	food
97693	KRAFT VELVEETA Pasteurized Process Cheese Spread	food
98348	Rennin	food
97282	Brazil nuts	food
98720	American Persimmon	food
97549	Redfish	food
98657	Common Turkish Oregano	food
97802	Honey roll sausage	food
98580	Oxheart cabbage	food
98313	HEINZ	food
98543	Vegetarian meatloaf or patties	food
98606	Kiwi	food
98331	Kashi H2H Woven Wheat Cracker Original	food
97395	Grape juice	food
98045	Arugula	food
98368	Barley	food
97644	Watercress	food
97850	Cranberry sauce	food
97569	Salad dressing	food
97733	Shortening bread	food
97295	Butter	food
97634	Vanilla-icecream	food
97766	Brotwurst	food
98510	Pinon Nuts	food
97423	Leek	food
98042	Pickle relish	food
98007	Taro shoots	food
98495	Tortilla	food
97532	Potato flour	food
97470	Norway lobster	food
98570	Swiss chard leaves [White]	food
98441	Spaghetti with meat sauce	food
97855	Elderberries	food
98297	KELLOGG'S Eggo Lowfat Homestyle Waffles	food
98231	MORNINGSTAR FARMS Tomato & Basil Pizza Burger	food
97970	Jerusalem-artichokes	food
97731	Margarine-like	food
98498	Chokecherries	food
98539	Luncheon slices	food
98236	MORNINGSTAR FARMS Original Chik'n Tenders	food
98029	Shallots	food
98659	Scarlet Runner Bean	food
98185	Vitasoy USA Nasoya	food
98079	Citrus fruit juice drink	food
97460	Miso	food
97290	Bucklingpate (sweet cured herring	food
98693	Breadnut	food
97311	KEEBLER	food
98472	Ascidians (tunughnak) (Alaska Native)	food
98276	French toast	food
98250	MORNINGSTAR FARMS Lasagna with Veggie Sausage	food
98538	Fish sticks	food
97813	HORMEL WRANGLER Beef Franks	food
97860	Grapes	food
98210	WORTHINGTON Vegetable Steaks	food
98587	Aestivalis grape [Black]	food
98432	KASHI Pizza	food
97695	KRAFT BREAKSTONE'S Reduced Fat Sour Cream	food
97394	Rowanberry	food
97736	Shortening frying (heavy duty)	food
97272	Bilberry	food
98742	Common bean [Black]	food
98717	White Mustard	food
98665	Dried pea	food
97520	Plaintain	food
97924	Mango nectar	food
97412	Jerusalem artichoke	food
98086	Malt beverage	food
97284	Bread-crumbs	food
98628	Saffron	food
97783	Liver cheese	food
97511	Pine nuts	food
98345	Gelatin desserts	food
98272	Croutons	food
97717	Horseradish	food
97372	Fennel seed	food
97409	Ice cream	food
97615	Swiss roll	food
97324	Chicory	food
97614	Sweets	food
98558	Frozen novelites	food
97676	Eggnog	food
98148	Peanut spread	food
97606	Sugar	food
98237	MORNINGSTAR FARMS Corn Dogs	food
97354	Curry powder	food
97983	Onion rings	food
98098	Orange breakfast drink	food
97950	Chayote	food
97897	Pitanga	food
97351	Crispbread	food
98529	Corn beverage	food
97685	Cheese substitute	food
97576	Sausage	food
97834	Acerola juice	food
98076	Cranberry-grape juice drink	food
98306	MCKEE BAKING	food
98195	LOMA LINDA Vege-Burger	food
98048	Lemon grass (citronella)	food
97432	Ling	food
98154	Soymilk (all flavors)	food
97388	Gherkin cucumber	food
98077	Cranberry juice cocktail	food
97910	Common verbena	food
97339	Corn starch	food
98683	Alholva (Sp.)	food
98728	Sugar-Apple	food
98267	Puff pastry	food
98606	Kai-lan	food
98004	Sweet potato	food
98367	Arrowroot flour	food
98675	Summer Savory	food
97673	Butter oil	food
97910	Sapote	food
98713	White Lupine	food
98463	Macaroni and cheese	food
97690	KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce	food
98190	Peanut butter with omega-3	food
