source	target	weight
98261	3209	6250.0
98261	2438	7.25
98261	3163	0.0
98261	1911	0.0
98261	2747	0.0
98261	2643	4767.5
98261	2082	58.25
98261	2006	2.2725
98261	2877	82.5
98261	2554	146.5
98261	1855	916.75
98261	3166	0.5475
98261	2843	0.15175
98261	3126	0.3515
98261	1759	0.039525
98261	2113	0.046
98261	1729	0.0489999999999999
98261	2480	0.0
98261	1999	0.4383333333333333
98261	1762	0.0
98261	3072	0.0
98261	2729	0.0
98261	2017	1.075
98261	2458	0.3395
98261	2156	0.23775
98261	1903	3.34025
98261	1968	0.20575
98261	2055	0.0939999999999999
98261	2863	0.1040625
98261	2532	7.142857142857144e-06
98261	2335	8.2
98261	2748	0.0078666666666666
98261	2660	79.0
98261	3146	210.25
98261	1764	249.0
98261	1735	532.75
98261	3123	194.0
98261	1881	122.75
98261	2797	135.5
98261	2864	222.0
98261	3182	293.75
98261	2500	162.25
98261	1874	280.5
98261	3017	355.75
98261	1887	2005.75
98261	2927	254.25
98261	1792	712.75
98261	2666	335.0
98261	1805	0.25
98261	1980	0.0
98261	2342	0.0
98261	1728	0.0
98261	3246	1.25
98261	1791	0.0
98261	2173	0.0
98261	2431	0.0513
97621	3209	15750.0
97621	1837	0.0
97621	1813	21025.0
97621	3163	0.0
97621	2113	0.0
97621	1729	0.0
97621	1762	0.0
97621	2781	0.0
97621	1780	0.0
97621	1999	0.0
97621	2748	0.0
97621	2730	0.0
97621	2156	0.0
97621	1903	0.1
97621	2055	0.0
97621	1968	0.0
97621	3257	0.0
97621	2863	0.0
97621	2532	0.0
97621	2017	0.0
97621	1855	215.0
97621	2554	156.5
97621	2082	60.0
97621	2877	32.0
97621	2006	1.025
97621	2843	0.285
97621	3166	0.275
97621	3030	0.006
97621	3126	0.0915
97621	2396	0.0085
97621	1759	0.00025
97621	2755	0.02
97621	2310	500.0
97621	2620	3150.0
97621	2658	1050.0
97621	2024	3250.0
97621	2643	60400.0
97621	3239	910.0
97621	1980	0.0
97621	2342	0.0
97621	1728	0.0
97621	3246	0.0
97621	2674	0.0
97621	2630	0.0
97621	3183	0.0
97621	2846	0.0
97621	3190	0.0
97621	2897	0.0
97621	2416	0.0
97621	3112	0.0
97621	1914	0.0
97621	1767	0.0
97621	2269	0.0
97621	2173	0.0
97621	1791	0.0
97621	1805	0.0
97621	1764	0.0
97621	1735	0.0
97621	3123	0.0
97621	1881	0.0
97621	2797	0.0
97621	2864	0.0
97621	3146	0.0
97621	2660	24.0
98159	3209	820.0
98159	2643	2470.0
98159	2082	123.0
98159	2006	0.44
98159	2554	123.0
98159	1855	49.0
98159	3166	0.25
98159	1759	0.0023
98159	1762	0.0012
98159	2017	0.0
98159	2156	0.21
98159	2863	0.01
98159	2532	0.00123
98159	1805	0.0
98140	3209	60.0
98140	2438	0.0
98140	3163	0.0
98140	1911	0.0
98140	2747	0.0
98140	2643	1700.0
98140	2082	18.0
98140	2006	1.975
98140	2877	117.5
98140	2554	198.5
98140	1855	4485.0
98140	3166	0.445
98140	2843	0.1095
98140	3126	0.424
98140	1759	0.00065
98140	2113	0.0
98140	1729	0.0
98140	2480	0.0
98140	1999	0.0
98140	1762	0.0
98140	3072	0.0
98140	2729	0.0
98140	2017	0.0
98140	2458	0.0415
98140	2156	0.1475
98140	1903	2.778
98140	1968	0.3085
98140	2055	0.159
98140	2863	0.01125
98140	2532	0.0
98140	2335	25.5
98140	2748	0.0
98140	2363	29.8
98140	2660	82.0
98140	3146	231.5
98140	1764	271.0
98140	1735	458.5
98140	3123	325.5
98140	1881	83.0
98140	2797	100.5
98140	2864	208.0
98140	3182	395.0
98140	2500	148.5
98140	1874	251.5
98140	3017	614.5
98140	1887	1348.5
98140	2927	253.5
98140	1792	420.5
98140	2666	331.0
98140	1805	0.0
98140	1980	0.0
98140	2342	0.0
98140	1728	0.0
98140	3246	0.0
98140	1791	0.0
98140	2173	0.0
