drug1,drug2,true_label,pred_label
625,281,0.0,10
1620,281,0.0,10
1119,281,0.0,10
1458,281,0.0,10
357,281,0.0,10
1265,281,0.0,10
1149,281,0.0,10
14,281,0.0,10
595,281,0.0,10
1414,1641,1.0,10
1414,248,1.0,10
460,1239,1.0,31
855,1239,1.0,10
220,327,1.0,10
1497,830,1.0,10
812,899,1.0,10
220,283,1.0,10
1414,515,1.0,10
1061,585,1.0,10
739,169,1.0,10
257,580,1.0,31
220,460,1.0,10
1061,312,1.0,10
1414,1061,1.0,10
1242,34,1.0,10
1497,1310,1.0,10
1061,722,1.0,10
220,66,1.0,10
200,784,1.0,31
739,460,1.0,10
327,1239,1.0,31
1497,1025,1.0,10
125,973,1.0,31
739,830,1.0,10
200,899,1.0,10
1414,216,1.0,10
216,1239,1.0,10
1061,783,1.0,10
449,1239,1.0,83
1414,830,1.0,10
1113,1239,1.0,10
1497,374,1.0,10
1414,698,1.0,10
1497,1599,1.0,10
257,973,1.0,31
560,1239,1.0,31
739,515,1.0,10
1414,560,1.0,10
739,855,1.0,10
1497,460,1.0,10
200,973,1.0,31
1061,1113,1.0,10
739,528,1.0,10
739,327,1.0,10
200,34,1.0,10
812,1566,1.0,10
220,1497,1.0,10
220,1113,1.0,10
812,558,1.0,31
739,929,1.0,10
257,784,1.0,31
739,1113,1.0,10
1414,169,1.0,10
830,1239,1.0,10
1497,1414,1.0,10
257,902,1.0,31
220,929,1.0,10
1497,216,1.0,10
200,1040,1.0,31
220,56,1.0,10
220,515,1.0,10
1497,169,1.0,10
125,410,1.0,10
220,669,1.0,10
1497,299,1.0,10
1641,1239,1.0,31
1414,327,1.0,10
1414,1678,1.0,10
739,669,1.0,10
220,855,1.0,10
1414,1239,1.0,31
1061,283,1.0,10
1061,449,1.0,10
125,1566,1.0,10
739,1678,1.0,10
1497,1641,1.0,10
739,248,1.0,10
66,1239,1.0,10
1061,1310,1.0,10
220,560,1.0,10
1061,208,1.0,10
248,1239,1.0,10
200,1566,1.0,10
1242,533,1.0,10
177,1239,1.0,10
739,374,1.0,10
739,803,1.0,10
739,66,1.0,10
1061,739,1.0,10
1414,56,1.0,10
1242,410,1.0,10
1414,783,1.0,10
200,1564,1.0,10
1497,783,1.0,10
812,580,1.0,31
1242,902,1.0,10
1497,56,1.0,10
1414,1310,1.0,10
220,169,1.0,10
1497,208,1.0,10
1061,669,1.0,10
812,902,1.0,10
739,675,1.0,10
1678,1239,1.0,31
1061,216,1.0,10
257,899,1.0,10
220,722,1.0,10
1414,1024,1.0,10
1414,1025,1.0,10
1497,449,1.0,10
208,1239,1.0,31
1061,221,1.0,10
739,1024,1.0,10
1061,560,1.0,10
1025,1239,1.0,31
1061,374,1.0,10
1497,584,1.0,10
1061,830,1.0,10
125,580,1.0,31
200,1567,1.0,31
257,533,1.0,10
1497,669,1.0,10
125,902,1.0,31
1061,56,1.0,10
1061,1239,1.0,31
1414,1599,1.0,10
220,248,1.0,10
1061,1641,1.0,10
1414,739,1.0,10
1024,1239,1.0,10
1414,66,1.0,10
1242,899,1.0,10
220,1024,1.0,10
1061,169,1.0,10
220,1025,1.0,10
1414,528,1.0,10
257,34,1.0,10
739,56,1.0,10
739,904,1.0,10
200,533,1.0,10
904,1239,1.0,31
200,410,1.0,10
1061,460,1.0,10
1497,66,1.0,10
739,722,1.0,10
169,1239,1.0,31
257,1040,1.0,31
739,1239,1.0,31
220,783,1.0,10
220,1023,1.0,10
220,698,1.0,10
1497,248,1.0,10
1497,560,1.0,10
220,221,1.0,10
200,902,1.0,10
739,283,1.0,10
1061,66,1.0,10
1023,1239,1.0,10
1497,929,1.0,10
1414,177,1.0,10
125,899,1.0,10
1414,929,1.0,10
739,208,1.0,10
1497,1061,1.0,31
1414,460,1.0,10
220,449,1.0,10
1414,283,1.0,10
1497,733,1.0,10
584,1239,1.0,10
220,585,1.0,10
220,312,1.0,10
1414,855,1.0,10
220,1678,1.0,10
