id	node_type
Bread stuffing	food
Toffees	food
SILK Light Plain	food
Soy sauce made from soy and wheat (shoyu)	food
Capers	food
Catsup	food
Papaya nectar	food
Fruit punch juice drink	food
Mayonnaise	food
Baking chocolate	food
Pretzels	food
Dogfish	food
Oregano	food
Kippers	food
Macaroni and Cheese	food
Aceituna Dulce	food
Winged bean	food
Gourd	food
Maize	food
Passion fruit	food
"PIZZA HUT 14"" Sausage Pizza"	food
Frozen yogurts	food
Pecan nut	food
Pomegranate	food
Tea [Oolong]	food
Cattail	food
Nuts	food
Hyacinth-beans	food
Carrot	food
Corn with red and green peppers	food
Vervain	food
Veggie burgers or soyburgers	food
"LITTLE CAESARS 14"" Original Round Pepperoni Pizza"	food
Liquorice allsorts	food
Gin	food
Luncheon sausage	food
KELLOGG'S Eggo Lowfat Blueberry Nutri-Grain Waffles	food
WORTHINGTON Super Links	food
Broadbean	food
Robusta coffee beverage [Filter]	food
Lime	food
WORTHINGTON Low Fat Fri Chik	food
CARL BUDDIG	food
Buckwheat flour	food
Blended spread	food
Flan	food
Orange drink	food
Beer [Dark]	food
Plums	food
Dip	food
Sorbitol	food
Water Lotus	food
Quail	food
DIGIORNO Pizza	food
European Chestnut	food
Soy sauce made from hydrolyzed vegetable protein	food
Kashi Blueberry Waffle	food
Wheat	food
Sweet pepper [Red]	food
Breakfast type drink	food
Marzipanproduct	food
Ymer	food
Asparagus	food
Savoy cabbage	food
Vegetarian fillets	food
Pork	food
Sandwiches and burgers	food
Sour cream	food
Orange juice	food
Deer (venison)	food
SILK Key Lime soy Yogurt	food
Pigeonpeas	food
MORNINGSTAR FARMS Mushroom Lover's Burger	food
Tangerines	food
Pepper spice [Black]	food
Yoghurt	food
Tortellini	food
Champagne	food
Pear nectar	food
Peach nectar	food
Clam and tomato juice	food
Sweet pepper [Yellow]	food
Breadroot	food
Cream pastry	food
Fast Food	food
Fat	food
Tortillas	food
WORTHINGTON Leanies	food
Taro leaves	food
Shortening cake mix	food
Mustard	food
Fruit juice drink	food
TACO BELL	food
Sesame seed [Black]	food
Cantharelle	food
Chilli pepper [Red]	food
Sweet rowanberry	food
Grapefruit juice	food
KRAFT BREYERS LIGHT N' LIVELY Lowfat Strawberry Yogurt (1% Milkfat)	food
Cognac	food
Lettuce [Red]	food
Aubergine	food
Loquat	food
Onion [White]	food
Coconut	food
Cantaloupe	food
Kanpyo	food
Cabbage	food
Orange peel	food
Milk dessert bar	food
American cranberry	food
Walnut	food
Gooseberry	food
Mexican oregano	food
Chewing gum	food
Hyssop	food
Nutmeg	food
Onion [Yellow]	food
Pectin	food
Salmon	food
Milk substitutes	food
Yogurt	food
Triticale	food
Fruit cocktail	food
Wasabi	food
Cherry	food
Candies	food
English muffins	food
Waxgourd	food
Mackerel	food
European cranberry	food
Oat	food
Cheese	food
Fox grape [Green]	food
Spotted catfish	food
WORTHINGTON Multigrain Cutlets	food
Blueberries	food
Lentil	food
Apples	food
Turnips	food
Coffee substitute	food
Lasagna with meat & sauce	food
Mothbeans	food
Cranberry-orange relish	food
Millet flour	food
Black pudding (boiled)	food
Barley flour or meal	food
Tomato juice	food
Sweet rolls	food
Shortening	food
Sunflower oil	food
Wolffish (catfish)	food
Frijoles rojos volteados (Refried beans	food
Common wheat	food
Radish seeds	food
Teff	food
Lemons	food
Black chokeberry	food
Kidney	food
Breakfast bars	food
Fenugreek	food
Steelhead trout	food
Melon	food
Pizza Romana	food
Wheat germ oil	food
MORNINGSTAR FARMS Garden Veggie Patties	food
Quark with fruit	food
Jerusalem Artichoke	food
Applesauce	food
Sugar pea	food
Endive (frisee)	food
Peanut flour	food
Thuringer	food
Nectarines	food
Tomato powder	food
Tomatillo	food
Okara	food
Vitasoy USA	food
Frostings	food
"LITTLE CAESARS 14"" Pepperoni Pizza"	food
Cheese spread	food
Tamales	food
Veal	food
Soy sauce made from soy (tamari)	food
Celery leaves	food
Nopales	food
Tomato puree	food
Marmalade	food
Frozen novelties	food
Nutmeg [Mace]	food
Oats	food
Yoghurt with muesli	food
Egg rolls	food
Buckwheat	food
Cider	food
Vegetable oil-butter spread	food
Chinese Parsley	food
Infant formula	food
Ravioli	food
Wild rice	food
Juice	food
Cranberry-apple juice drink	food
Reddi Wip Fat Free Whipped Topping	food
Bacon bits	food
Bouillon	food
Mouse nuts	food
Lemonade-flavor drink	food
Red beetroot	food
NABISCO	food
Pie Crust	food
Soy protein isolate	food
Duck	food
Pancakes plain	food
Stinging Nettles	food
Adobo fresco	food
Celtuce	food
Lemon verbena	food
Beer [Alcohol free]	food
Cashew	food
Red Currant	food
Mayonnaise dressing	food
Butternut	food
Broccoli raab	food
Rice cake	food
Biblical Mint	food
Rice bran	food
Apple cider-flavored drink	food
Rice noodles	food
Bread crumbs	food
Apricots	food
Soya flour	food
Soy protein concentrate	food
Radishes	food
Kashi TLC Crackers Original 7 Grain	food
Chayote fruit	food
Honey	food
Tomatojuice	food
Pimento	food
Ensure plus	food
Lake trout	food
MORNINGSTAR FARMS Maple Flavored Veggie Sausage Patties	food
Yoghurt with strawberries	food
Yardlong bean	food
Crackers	food
Mace	food
Winged bean leaves	food
MORI-NU	food
Pickle and pimiento loaf	food
Cornstarch	food
PILLSBURY	food
Orange and apricot juice drink	food
Nut paste	food
Grape [Green]	food
Whipped egg white and sugar with chocolate covering	food
Smoked link sausage	food
Muskmelon	food
Grape leaves	food
WORTHINGTON Prosage Links	food
Spelt	food
Aubergine (eggplant)	food
Rambutan	food
LOMA LINDA Big Franks	food
Common Thyme	food
Willow	food
Succotash	food
Fenugreek seed	food
Custard-apple	food
SILK Peach soy Yogurt	food
Ham and cheese loaf or roll	food
Egg custards	food
Semolina	food
Waffle	food
Shallot	food
Kashi TLC Crackers Country Cheddar	food
Pasta	food
Drumstick pods	food
Chilli pepper [Yellow]	food
Fox grape [Black]	food
Jellies	food
Cranberries	food
Rape seed	food
Liverwurst spread	food
Pasta with meatballs in tomato sauce	food
Fruit-flavored drink	food
Mustard spinach	food
Poi	food
Palm kernel oil	food
Triticale flour	food
LOUIS RICH	food
Gelatins	food
Margarine-like spread	food
American Cranberry	food
Cowpea	food
Dragee	food
Cascade huckleberry	food
Charr	food
Quince	food
Wine	food
Spinach	food
Endive [Curly]	food
Balsam-pear (bitter gourd)	food
Berro	food
Lingonberry	food
Stockfish	food
KRAFT VELVEETA Pasteurized Process Cheese Spread	food
Rennin	food
Brazil nuts	food
American Persimmon	food
Redfish	food
Common Turkish Oregano	food
Honey roll sausage	food
Oxheart cabbage	food
HEINZ	food
Vegetarian meatloaf or patties	food
Kiwi	food
Kashi H2H Woven Wheat Cracker Original	food
Grape juice	food
Arugula	food
Barley	food
Watercress	food
Cranberry sauce	food
Salad dressing	food
Shortening bread	food
Butter	food
Vanilla-icecream	food
Brotwurst	food
Pinon Nuts	food
Leek	food
Pickle relish	food
Taro shoots	food
Tortilla	food
Potato flour	food
Norway lobster	food
Swiss chard leaves [White]	food
Spaghetti with meat sauce	food
Elderberries	food
KELLOGG'S Eggo Lowfat Homestyle Waffles	food
MORNINGSTAR FARMS Tomato & Basil Pizza Burger	food
Jerusalem-artichokes	food
Margarine-like	food
Chokecherries	food
Luncheon slices	food
MORNINGSTAR FARMS Original Chik'n Tenders	food
Shallots	food
Scarlet Runner Bean	food
Vitasoy USA Nasoya	food
Citrus fruit juice drink	food
Miso	food
Bucklingpate (sweet cured herring	food
Breadnut	food
KEEBLER	food
Ascidians (tunughnak) (Alaska Native)	food
French toast	food
MORNINGSTAR FARMS Lasagna with Veggie Sausage	food
Fish sticks	food
HORMEL WRANGLER Beef Franks	food
Grapes	food
WORTHINGTON Vegetable Steaks	food
Aestivalis grape [Black]	food
KASHI Pizza	food
KRAFT BREAKSTONE'S Reduced Fat Sour Cream	food
Rowanberry	food
Shortening frying (heavy duty)	food
Bilberry	food
Common bean [Black]	food
White Mustard	food
Dried pea	food
Plaintain	food
Mango nectar	food
Jerusalem artichoke	food
Malt beverage	food
Bread-crumbs	food
Saffron	food
Liver cheese	food
Pine nuts	food
Gelatin desserts	food
Croutons	food
Horseradish	food
Fennel seed	food
Ice cream	food
Swiss roll	food
Chicory	food
Sweets	food
Frozen novelites	food
Eggnog	food
Peanut spread	food
Sugar	food
MORNINGSTAR FARMS Corn Dogs	food
Curry powder	food
Onion rings	food
Orange breakfast drink	food
Chayote	food
Pitanga	food
Crispbread	food
Corn beverage	food
Cheese substitute	food
Sausage	food
Acerola juice	food
Cranberry-grape juice drink	food
MCKEE BAKING	food
LOMA LINDA Vege-Burger	food
Lemon grass (citronella)	food
Ling	food
Soymilk (all flavors)	food
Gherkin cucumber	food
Cranberry juice cocktail	food
Common verbena	food
Corn starch	food
Alholva (Sp.)	food
Sugar-Apple	food
Puff pastry	food
Kai-lan	food
Sweet potato	food
Arrowroot flour	food
Summer Savory	food
Butter oil	food
Sapote	food
White Lupine	food
Macaroni and cheese	food
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce	food
Peanut butter with omega-3	food
Mushroom	food
Whitecurrant	food
Sweet bay	food
Flounder	food
Keikitos (muffins)	food
Sorghum flour	food
Carob-flavor beverage mix	food
Millet	food
Lupins	food
Goat milk	food
Chilchen (Red Berry Beverage) (Navajo)	food
Pokeberry shoots	food
Guavas	food
Pizza Napolitana	food
Tamarinds	food
Coconut meat	food
Date	food
Star anise	food
Soft drink	food
Mountain yam	food
"PAPA JOHN'S 14"" The Works Pizza"	food
MORNINGSTAR FARMS Bacon	food
Prickly pear	food
Butter replacement	food
Anchovy	food
Tea [Black]	food
Restaurant	food
Cucumber	food
WORTHINGTON Wham (roll)	food
Alfalfa seeds	food
Drumstick leaves	food
Fresh pea	food
Ham	food
Orange [Blond]	food
Tomato	food
Lump	food
Radicchio	food
Peaches	food
Figs	food
Raisin	food
Bisquit	food
"PIZZA HUT 14"" Cheese Pizza"	food
Rice starch	food
Lovage	food
Purslane	food
Winged bean tuber	food
"PIZZA HUT 12"" Super Supreme Pizza"	food
Cherimoya	food
WORTHINGTON Choplets	food
Protein supplement	food
Adzuki Bean	food
Dab	food
Granado (Sp.)	food
Breakfast bar	food
Lima bean	food
Ceylon Cinnamon	food
Cream yoghurt	food
Granola bar	food
Sesame seeds	food
HORMEL SPAM	food
Remoulade	food
SILK French Vanilla Creamer	food
Broadbeans	food
Saithe (UK)	food
Amaranth leaves	food
Ice creams	food
Carrots	food
SILK Blueberry soy Yogurt	food
Bamboo shoots	food
MORNINGSTAR FARMS BBQ Riblets	food
Puddings	food
SILK Hazelnut Creamer	food
KELLOGG'S Eggo Lowfat Nutri-Grain Waffles	food
Cornflakes	food
MORNINGSTAR FARMS Grillers Original	food
Broad bean seed	food
Whale	food
Corned beef and potatoes in tortilla (Apache)	food
ENSURE FIBER WITH FOS	food
Rainbow trout	food
Sunflower seeds	food
Non-alcoholic beverage (light)	food
LOMA LINDA Low Fat Big Franks	food
Vecao	food
Amaranth	food
Cream Crackers	food
Chocolate-flavored drink	food
Garfish	food
Plain cake	food
Shrimp	food
Carambola	food
Sunflower seed	food
Butterhead lettuce (US)	food
Baguette	food
Brazillian Guava	food
Crustaceans	food
Burbot	food
Snacks	food
Potato pancakes	food
New Zealand spinach	food
Ice cream sandwich	food
LOMA LINDA Linketts	food
Seeds	food
Cloudberry	food
Anise herb	food
Salami	food
Allspice	food
Olive [Green]	food
Lambsquarter	food
Vital wheat gluten	food
Endive [Escarole]	food
Yogurt parfait	food
Coffeecake	food
Biblical Mint|Hortela da Folha Miuda	food
Pate de foie gras	food
Ajonjoli (Sp.)	food
Potatoes	food
Acorn stew (Apache)	food
Yam	food
HOUSE FOODS Premium Soft Tofu	food
Rabbit	food
Ham and cheese spread	food
Sweet bisquit	food
Wine [White]	food
Tree fern	food
Chives	food
Clove	food
SILK Light Chocolate	food
Greencurrant	food
SILK Light Vanilla	food
Guanabana nectar	food
Kiwi fruit	food
Arrowhead	food
Lebanon bologna	food
Passion-fruit	food
Winged beans	food
